track_id,track_name,main_artist_name,duration_second
3B6mCjnpTthmtFPuTAH0Kz,Luna,Bombay Bicycle Club,190
0GlejgfH8mrHTcJjqfcw6s,Mother,VOICES FROM MARS,429
3DpnZMnlXIVWVB8RWFjuAI,Kiminosei,the peggies,263
3MziBfxdRIQHTrdTJuk5qt,Sleepyhead,Young & Sick,237
0BP4HaXQ4CtbmFQ1PwaBTn,晴れた日に,All That Jazz,246
6NGpDCzyGzslY32HvSShtd,Don’t Be So Hard On Yourself,Alex Lahey,258
7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,229
5V8FkfpBLQvLyKm8qzJXsi,Future Cαndy,YUC'e,210
4Sfa7hdVkqlM8UW5LsSY3F,Take a Walk,Passion Pit,264
2iQYA0LO5wKKzUvzLzRXiW,WHITNEY,Gavin Turek,173
2SJdfWjD5ssoOnRSIQYOGD,Go!!!,FLOW,239
3WRQUvzRvBDr4AxMWhXc5E,Sunset Lover,Petit Biscuit,238
24A8u5iR1EDMyG7cd4U6ue,いつもの道,Snail's House,244
1NmksRNnKu84kZNFbwuZ5Y,白熊,Vickeblanka,222
48jPXL18znu1NyN5Y1yEfT,WARUGAKI,Eric.B.Jr,169
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,298
4NzMOnvSJVNKF7nw5NkXIP,bury a friend,Billie Eilish,193
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,183
5aHfGUxRec6c41luxkDqhX,Peace Sign,Kenshi Yonezu,238
0VO6VnypiHKriKzj3HL5lb,Before I Let You Go,Blackstreet,299
3xaugmCyXrVkrDTXbFkMW3,Sanctuary,Joji,180
7w87IxuO7BDcJ3YUqCyMTT,Pumped Up Kicks,Foster The People,239
2nX7A7RQV4xb6XAivrsQG1,Q-vism,Who-ya Extended,182
23DbzwNJSLo7nkSWjODMvY,Gurenge,LiSA,238
34x3r65wXDQNXdMeDmDWbu,Bamboo Disco,Yunomi,196
1vmqOkCjB8DV7WTmTpDfTH,過ぎゆく日と君へ (feat. nayuta),Aiobahn,260
0SXqh0fDNdziTseZ3SvJhL,ある雨の日に (Intro),Snail's House,80
4kasy4d78AT0kx2CpPOjpY,バンド - ニ〇一九,Creep Hyp,376
2zGROZ21MjWlGOn9lP9mUp,melt (with suis from ヨルシカ),TK from Ling tosite sigure,278
2ZCkl705ROXLgLtXXKhBp2,Wake up!,AAA,223
4mGdjNMo0RonTlOEb7cYg4,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,239
3bH4HzoZZFq8UpZmI2AMgV,New Light,John Mayer,216
0ytw2owVvegkIS87txqV1O,Swim Good,Frank Ocean,257
1M321puDN1WBd5NF0ogOKW,Habit,Still Woozy,153
2uibf6FnhL7cpcqsAuBBNf,別の人の彼女になったよ,wacci,304
7zDHGb8RXtQm2odfAzZZai,Moving On,Sarah and the Sundays,159
2njUxZ4151DWIrfIK3loFj,COPYCAT - Sofi Tukker Remix,Billie Eilish,198
3vrqSe0A4dSM9BZdrShAAu,CheerS,ClariS,240
40AXU3TBlhRe6I7hDm53dY,身体,odol,223
3nFOCjx621otRI1uKgh7yV,Falling Down,Zekk,217
2REogHf5QAT6lKosqzyVfx,Blue Bird,熊川みゆ,263
50qVZiOodCVGqVNSZHTfIS,紅(イントロ ストリングス),X JAPAN,379
65wl0TYoyrBFJtotwJiDHl,Infinity,Ocean Alley,233
5hkaFqz1HiBdN6Vwxyj09G,夢なんかじゃ飯は喰えないと誰かのせいにして,藤川千愛,277
69jrtjVjyzRyPCDg0dHYCX,生きていたんだよな,Aimyon,194
5D7bvuBIfr9XaepTEtUyMx,やさしさに包まれたなら,All That Jazz,162
2lef7yeg5qkPNt0ptulqfW,Lost In Translation,Logic,289
4x0pNOZ5r6kJMjsvsoliBm,Groceries,Mallrat,217
3TASsGwgW6rDL2R1IwMP30,クラゲ、流れ星,Ai Otsuka,296
4H24vduqzowuXiZ06CidCr,Charlie,Mallrat,190
2QoDAlMnML5haTXvYRS86X,Ready To Let Go,Cage The Elephant,187
2H3bOGOE50qEo5wAYoJiwL,貴方解剖純愛歌〜死ね〜,Aimyon,266
0qLSd8q52aE64HE8fUh26k,Kimi no Tamenara Dekiru Koto,Hanako Oku,319
4yws3mFm1DLQ20Z8UWcah7,Resolution,Haruka Tomatsu,290
1W5IQtjA2Hkx0fpGYSrqGx,ebb and flow,Ray,256
6rOxMuxtATULp0vEaNR3RK,スパークル - movie ver.,RADWIMPS,534
1FN5MIbMWhM0rRe8Y8RyX1,Rolling Star,YUI,188
15TaZdhznRBaKzyHLHA9ad,Unravel - Acoustic Version,TK from Ling tosite sigure,228
2zbWCme3Dvp8071b4R4nkY,Vinyl,King Gnu,294
6TjkFXIyvq0dhoMaxLkFxB,Stray cat,Luschel,222
30CenAPBR2VmH91r4Um32b,Clock Strikes,ONE OK ROCK,235
2iIJb5PbXpjeVX3noQ8Mnq,Floret,Snail's House,182
7FVGIPgLMDChTffvG2LuHV,Holy,King Princess,174
0RCpze7hmowZIGUJs9Dm7w,Marceline,WILLOW,136
4y3OI86AEP6PQoDE6olYhO,Sucker,Jonas Brothers,181
4YLTFu7iyC3q34dvf5hRDq,Eclipse,Inner Wave,183
43qQnF2HcaSBSueb6cylkR,Cappuccino,Snail's House,243
4IouQaO9GkaHC7AtMErdSa,打上花火,DAOKO×米津玄師,289
41d2Q6DHcM20OdzynkRtvf,Daft Pretty Boys,Bad Suns,187
48q0vSHcJdhK3IiXH8C5WJ,Why'd You Only Call Me When You're High?,Arctic Monkeys,161
2pV2oBsdLS4M1kEPrWjPcU,I&U,Rei Yasuda,256
2xV9yak8TmlqSpmbPKpNZp,Egao,Ikimonogakari,297
3keEVOCHTgkvCBI5m03hzh,"I Feel The Light featuring Earth, Wind & Fire",Little Glee Monster,219
